연도,양파,돼지고기,밀가루,자장면,양파 가격,돼지고기 가격,밀가루 가격,자장면 가격
1975,6.08,8.36,9.75,2.89,226.99,169.90,132.26,150.34
1976,7.14,10.89,10.37,3.19,266.65,221.35,140.59,165.88
1977,5.42,11.24,10.15,4.08,202.42,228.30,137.57,211.85
1978,11.37,15.10,9.96,4.28,424.63,306.89,135.07,222.19
1979,11.32,14.59,10.50,5.82,422.84,296.51,142.42,302.51
1980,14.73,17.12,15.64,7.29,550.09,347.80,212.13,378.92
1981,23.63,28.71,20.18,9.86,882.34,583.47,273.64,512.07
1982,20.02,28.85,19.69,11.05,747.47,586.13,267.00,574.10
1983,12.26,26.57,18.40,11.02,457.60,539.84,249.45,572.23
1984,26.02,22.68,18.20,11.91,971.40,460.88,246.75,618.57
1985,24.53,28.10,19.09,12.88,916.06,571.05,258.87,668.96
1986,19.11,30.76,20.35,13.48,713.57,625.04,275.91,700.39
1987,16.79,25.58,19.55,14.12,627.05,519.68,265.07,733.69
1988,18.01,25.05,19.15,15.88,672.31,509.02,259.63,824.86
1989,19.38,23.82,20.81,18.78,723.76,484.10,282.16,975.67
1990,30.17,33.70,22.87,22.72,1126.59,684.76,310.10,1180.46
1991,40.58,40.31,23.35,27.51,1515.22,819.02,316.67,1429.20
1992,20.21,33.98,25.21,30.73,754.60,690.49,341.89,1596.27
1993,23.28,33.04,26.21,33.23,869.09,671.39,355.34,1726.14
1994,51.55,34.24,26.26,36.64,1924.99,695.74,356.07,1903.66
1995,30.61,33.45,27.00,39.06,1142.87,679.77,366.15,2029.17
1996,37.69,31.61,32.72,42.46,1407.31,642.32,443.68,2205.85
1997,41.11,35.02,35.23,44.95,1535.12,711.51,477.72,2335.36
1998,41.31,36.61,52.87,51.27,1542.63,743.85,716.97,2663.58
1999,43.58,37.93,43.77,49.46,1627.43,770.76,593.54,2569.40
2000,45.11,39.35,41.32,50.16,1684.30,799.55,560.35,2605.92
2001,40.49,42.70,43.98,50.79,1511.78,867.56,596.30,2638.49
2002,39.07,46.33,46.08,53.79,1458.87,941.32,624.85,2794.18
2003,71.96,47.55,52.11,59.41,2686.87,966.30,706.60,3086.51
2004,58.75,59.86,57.47,60.81,2193.80,1216.42,779.33,3159.03
2005,55.17,63.45,60.64,61.07,2060.16,1289.20,822.25,3172.38
2006,65.32,64.30,62.32,61.87,2439.09,1306.49,845.01,3214.15
2007,59.59,61.39,67.96,64.18,2225.17,1247.40,921.57,3334.15
2008,62.50,71.93,108.73,72.58,2333.82,1461.62,1474.41,3770.27
2009,72.77,78.12,99.36,73.85,2717.05,1587.42,1347.28,3836.35
2010,74.95,73.38,84.95,74.77,2798.67,1491.12,1151.85,3884.20
2011,71.14,93.98,89.42,80.00,2656.40,1909.69,1212.52,4155.74
2012,76.06,81.23,90.11,80.94,2840.01,1650.59,1221.92,4204.99
2013,110.11,75.94,98.98,82.35,4111.47,1543.10,1342.21,4278.24
2014,64.96,88.03,101.47,83.40,2425.68,1788.71,1375.97,4332.47
2015,87.01,91.25,100.57,85.70,3248.95,1854.22,1363.77,4452.27
2016,93.14,91.84,99.48,88.11,3478.00,1866.21,1349.00,4577.21
2017,100.36,97.52,98.35,90.93,3747.41,1981.65,1333.65,4723.97
2018,80.86,93.98,99.40,94.98,3019.16,1909.69,1347.84,4934.31
2019,68.75,90.31,101.07,98.59,2567.05,1835.12,1370.56,5121.70
2020,100,100,100,100,3734,2032,1356,5195
2021,103.6,111.1,100.7,103.1,3866.9,2257.8,1365.1,5354.5
2022,94.4,120.1,128.8,114.2,3525.6,2440.2,1746.9,5932.7
